Category;Subcategory;Value;Description;Support;Opposition;Fact-Check
Equality & non-discrimination;Constitution (sexual orientation);0.16;"Constitution (sexual orientation) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sexual orientation in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sexual orientation is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sexual orientation, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";The Constitution should explicitly prohibit discrimination based on sexual orientation.;The Constitution should not prohibit discrimination based on sexual orientation.;The Constitution contains an article that prohibit discrimination based on sexual orientation.
Equality & non-discrimination;Employment (sexual orientation);1.1;Employment (sexual orientation) covers employment anti-discrimination legislation. Only express mention of sexual orientation should be counted.;Employment laws should prohibit discrimination based on sexual orientation in employment.;Employment laws should not prohibit discrimination based on sexual orientation in employment.;Employment laws include sexual orientation as grounds of discrimination.
Equality & non-discrimination;Goods & services (sexual orientation);1.1;Employment laws should explicitly prohibit discrimination based on sexual orientation.;Laws should prohibit discrimination based on sexual orientation in access to goods and services.;Laws should not prohibit discrimination based on sexual orientation in access to goods and services.;Laws prohibit discrimination based on sexual orientation in access to goods and services.
Equality & non-discrimination;Education (sexual orientation);1.1;Laws should explicitly prohibit discrimination based on sexual orientation in the field of education.;Laws should prohibit discrimination based on sexual orientation in education.;Laws should not prohibit discrimination based on sexual orientation in education.;Laws prohibit discrimination based on sexual orientation in the field of education.
Equality & non-discrimination;Health (sexual orientation);1.1;Health (sexual orientation) covers legislation prohibiting discrimination in the field of health. Only express mention of sexual orientation only should be counted.;Laws should prohibit discrimination based on sexual orientation in healthcare.;Laws should not prohibit discrimination based on sexual orientation in healthcare.;Laws prohibit discrimination based on sexual orientation in the field of healthcare.
Equality & non-discrimination;Conversion practices ban (sexual orientation);0.8;Conversion practices ban (sexual orientation) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that homosexuality/bisexuality per se is a mental disorder or based upon the a priori assumption that a patient should change their sexual orientation.;Laws should prohibit conversion or reparative practices aimed at changing a minor's sexual orientation.;Laws should allow conversion or reparative practices aimed at changing a minor's sexual orientation.;Laws prohibit conversion or reparative practices aimed at changing a minors sexual orientation.
Equality & non-discrimination;Equality body mandate (sexual orientation);0.78;Equality body mandate (sexual orientation) covers when a national human rights institution / equality body is explicitly mandated to work on sexual orientation in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sexual orientation.;Human rights institution or equality body should be explicitly mandated and active in addressing issues related to sexual orientation.;An equality body should not be involved in addressing issues related to sexual orientation.;National human rights institutions or equality bodies are actively engaged in addressing issues related to sexual orientation.
Equality & non-discrimination;Equality action plan (sexual orientation);0.88;"Equality action plan (sexual orientation) covers action plans which expressly include sexual orientation, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";National equality action plans should include sexual orientation and contain concrete implementation measures, monitoring, resources, and responsibilities.;National equality action plans should not include or address sexual orientation.;National equality action plans include sexual orientation and contain concrete implementation measures such as monitoring, resources, and responsibilities.
Equality & non-discrimination;Constitution (gender identity);0.16;"Constitution (gender identity) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes gender identity in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on gender identity is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on gender identity, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";The Constitution should explicitly prohibit discrimination based on gender identity.;The Constitution should not prohibit discrimination based on gender identity.;The Constitution contains an article that prohibit discrimination based on gender identity.
Equality & non-discrimination;Employment (gender identity);1.1;Employment (gender identity) covers employment anti-discrimination legislation. Only express mention of gender identity should be counted.;Employment laws should prohibit discrimination based on gender identity in employment.;Employment laws should not prohibit discrimination based on gender identity in employment.;Employment laws include gender identity as grounds of discrimination.
Equality & non-discrimination;Goods & services (gender identity);1.1;Employment laws should explicitly prohibit discrimination based on gender identity.;Laws should prohibit discrimination based on gender identity in access to goods and services.;Laws should not prohibit discrimination based on gender identity in access to goods and services.;Laws prohibit discrimination based on gender identity in access to goods and services.
Equality & non-discrimination;Education (gender identity);1.1;Laws should explicitly prohibit discrimination based on gender identity in the field of education.;Laws should prohibit discrimination based on gender identity in education.;Laws should not prohibit discrimination based on gender identity in education.;Laws prohibit discrimination based on gender identity in the field of education.
Equality & non-discrimination;Health (gender identity);1.1;Health (gender identity) covers legislation prohibiting discrimination in the field of health. Only express mention of gender identity only should be counted.;Laws should prohibit discrimination based on gender identity in healthcare.;Laws should not prohibit discrimination based on gender identity in healthcare.;Laws prohibit discrimination based on gender identity in the field of healthcare.
Equality & non-discrimination;Conversion practices ban (gender identity);0.8;Conversion practices ban (gender identity) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that homosexuality/bisexuality per se is a mental disorder or based upon the a priori assumption that a patient should change their gender identity.;Laws should prohibit conversion or reparative practices aimed at changing a minor's gender identity.;Laws should allow conversion or reparative practices aimed at changing a minor's gender identity.;Laws prohibit conversion or reparative practices aimed at changing a minors gender identity.
Equality & non-discrimination;Equality body mandate (gender identity);0.78;Equality body mandate (gender identity) covers when a national human rights institution / equality body is explicitly mandated to work on gender identity in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering gender identity.;Human rights institution or equality body should be explicitly mandated and active in addressing issues related to gender identity.;Human rights institution or equality body should not be involved in addressing issues related to gender identity.;National human rights institutions or equality bodies are actively engaged in addressing issues related to gender identity.
Equality & non-discrimination;Equality action plan (gender identity);0.88;"Equality action plan (gender identity) covers action plans which expressly include gender identity, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";National equality action plans should include gender identity and contain concrete implementation measures, monitoring, resources, and responsibilities.;National equality action plans should not include or address gender identity.;National equality action plans include gender identity and contain concrete implementation measures such as monitoring, resources, and responsibilities.
Equality & non-discrimination;Law (gender expression);1.83;Law (gender expression) covers anti-discrimination legislation which expressly includes gender expression.;Laws should explicitly prohibit discrimination based on gender expression.;Laws should not prohibit discrimination based on gender expression.;Laws prohibit discrimination based on gender expression.
Equality & non-discrimination;Constitution (sex characteristics);0.16;"Constitution (sex characteristics) covers constitutional (or similar) anti-discrimination provisions. To comply with this criterion, the country should fall under one of the following categories:
- The Constitution contains an anti-discrimination article which explicitly includes sex characteristic in the list of prohibited grounds of discrimination.
- The Constitution contains a general or ambiguous anti-discrimination article, but discrimination based on sex characteristic is effectively prohibited by this article. This must be demonstrated in the Constitutions preparatory work, legislative history, or in case law from the highest judicial bodies (e.g. Constitutional Court, Supreme Court, etc.).
- The Constitution indirectly prohibits discrimination based on sex characteristic, e.g. by declaring that the European Convention on Human Rights is part of the Constitution or has a constitutional status (declarations that have been implemented consistently by the courts)";The Constitution should explicitly prohibit discrimination based on sexual characteristics.;The Constitution should not prohibit discrimination based on sexual characteristics.;The Constitution contains an article that prohibit discrimination based on sexual characteristics.
Equality & non-discrimination;Employment (sex characteristics);1.1;Employment (sex characteristics) covers employment anti-discrimination legislation. Only express mention of sex characteristic should be counted.;Employment laws should prohibit discrimination based on sexual characteristics in employment.;Employment laws should not prohibit discrimination based on sexual characteristics in employment.;Employment laws include sexual characteristics as grounds of discrimination.
Equality & non-discrimination;Goods & services (sex characteristics);1.1;Employment laws should explicitly prohibit discrimination based on sex characteristic.;Laws should prohibit discrimination based on sexual characteristics in access to goods and services.;Laws should not prohibit discrimination based on sexual characteristics in access to goods and services.;Laws prohibit discrimination based on sexual characteristics in access to goods and services.
Equality & non-discrimination;Education (sex characteristics);1.1;Laws should explicitly prohibit discrimination based on sex characteristic in the field of education.;Laws should prohibit discrimination based on sexual characteristics in education.;Laws should not prohibit discrimination based on sexual characteristics in education.;Laws prohibit discrimination based on sexual characteristics in the field of education.
Equality & non-discrimination;Health (sex characteristics);1.1;Health (sex characteristics) covers legislation prohibiting discrimination in the field of health. Only express mention of sex characteristic only should be counted.;Laws should prohibit discrimination based on sexual characteristics in healthcare.;Laws should not prohibit discrimination based on sexual characteristics in healthcare.;Laws prohibit discrimination based on sexual characteristics in the field of healthcare.
Equality & non-discrimination;Conversion practices ban (sex characteristics);0.8;Conversion practices ban (sex characteristics) for minors covers legislation and policies prohibiting reparative or conversion practices which are based upon the assumption that homosexuality/bisexuality per se is a mental disorder or based upon the a priori assumption that a patient should change their sex characteristic.;Laws should prohibit conversion or reparative practices aimed at changing a minor's sexual characteristics.;Laws should allow conversion or reparative practices aimed at changing a minor's sexual characteristics.;Law prohibit conversion or reparative practices aimed at changing a minors sexual characteristics.
Equality & non-discrimination;Equality body mandate (sex characteristics);0.78;Equality body mandate (sex characteristics) covers when a national human rights institution / equality body is explicitly mandated to work on sex characteristic in its law/founding documents, and where the national human rights institution / equality body is systematically working on issues covering sex characteristic.;Human rights institution or equality body should be explicitly mandated and active in addressing issues related to sexual characteristics.;An equality body should not be involved in addressing issues related to sexual characteristics.;National human rights institutions or equality bodies are actively engaged in addressing issues related to sexual characteristics.
Equality & non-discrimination;Equality action plan (sex characteristics);0.88;"Equality action plan (sex characteristics) covers action plans which expressly include sex characteristic, and include specific measures for progress. In addition, we only take into account when the action plan either entails or is followed up with the following measures:
- Detailed projects or initiatives within the time span
- Allocation of resources (financial or human resources)
- Clear responsibilities for proper implementation
- Setup of monitoring procedure";National equality action plans should include sexual characteristics and contain concrete implementation measures, monitoring, resources, and responsibilities.;National equality action plans should not include or address sexual characteristics.;National equality action plans include sexual characteristics and contain concrete implementation measures such as monitoring, resources, and responsibilities.
Equality & non-discrimination;Blood donations;0.91;"Blood donation covers when there is no full legislative or administrative ban on donating blood or on any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity. Any deferral periods need to be reasonable and justified. This also includes when health authorities and practitioners make sure that:
- Decisions on time restrictions are taken on individual basis and based on risks assessments related to sexual behaviours of candidates, not on their sexual orientation or gender identity.
- The sexual history of candidates to blood/tissue donations are treated in a non-judgmental manner.
- All relevant documents are exempt from use of discriminatory formulations towards men who have sex with men and trans people.";Laws and administrations should allow blood and tissue donation for LGBTI people regardless of sexual orientation or gender identity.;Laws and administrations should ban blood and tissue donation for LGBTI people based on sexual orientation or gender identity.;There is no full legislative or administrative ban on donating blood or on any kind of bodily tissues for LGBTI people based on their sexual orientation or gender identity.
Family;Marriage equality;3.75;Marriage equality covers when same-sex couples can marry, with the same level of rights as married different-sex couples.;Laws should allow same-sex couples marriage with the same level of rights as married different-sex couples.;Laws should ban same-sex couples marriage.;Same-sex couples marriage is allowed by law, with the same level of rights as married different-sex couples.
Family;Registered partnership (similar rights to marriage);3.0;Registered partnership (similar rights to marriage) covers when same-sex couples can enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married;Laws should allow same-sex couples to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married.;Laws should ban same-sex couples to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married.;Same-sex couples are allowed by law to enter a registered partnership/civil partnership and obtain the same level of rights as they would if they were married.
Family;Registered partnership (limited rights);2.0;Registered partnership (limited rights) covers when same-sex couples can enter a registered partnership/civil partnership, but where the level of rights is different to, and is significantly weaker than the rights offered by marriage.;Laws should allow same-sex couples to enter a registered partnership/civil partnership, but with weaker rights than the ones offered by marriage.;Laws should ban same-sex couples to enter a registered partnership/civil partnership, even when it entails weaker rights than the ones offered by marriage..;Laws allow same-sex couples to enter a registered partnership/civil partnership, but with weaker rights than the ones offered by marriage.
Family;Cohabitation;1.0;Cohabitation covers when same-sex couples are included in legislation or legal measures on cohabitation.;Laws should include measures on cohabitation for same-sex couples.;Laws should not include measures on cohabitation for same-sex couples.;Laws include measures on cohabitation for same-sex couples.
Family;No constitutional limitation on marriage;0.75;No constitutional limitation on marriage covers when a constitutional definition (or similar) of marriage as being only a union between a man and a woman does not exist.;Constitution should not include a definition of marriage as being only a union between a man and a woman.;Constitution should define marriage as being only a union between a man and a woman.;Constitution do not include a definition of marriage as being only a union between a man and a woman.
Family;Joint adoption;3.0;Joint adoption covers when same-sex couples can legally apply for joint adoption.;Same-sex couples should be able to legally apply for joint adoption.;Same-sex couples should not be allowed to legally apply for joint adoption.;Same-sex couples can legally apply for joint adoption.
Family;Second-parent adoption;1.75;Second parent adoption covers when same-sex couples can legally apply for second parent adoption.;Same-sex couples should be able to legally apply for second parent adoption.;Same-sex couples should not be allowed to legally apply for second parent adoption.;Same-sex couples can legally apply for second parent adoption.
Family;Automatic co-parent recognition;1.75;Automatic co-parent recognition covers when children born to couples (regardless the partners’ sexual orientation and/or gender identity) are not facing any barriers in order to be recognised legally from birth to their parents.;Couples (regardless the partners’ sexual orientation and/or gender identity) should be legally and automatically recognised as co-parent from birth to childres.;Children born to couples (regardless the partners’ sexual orientation and/or gender identity) should not be legally recognised from birth to both members of the couple.;
Family;Medically assisted insemination (couples);2.0;Medically assisted insemination (couples) covers when couples (regardless the partners’ sexual orientation and/or gender identity) are not facing any legal barriers in order to get fertility treatment.;There should not be any legal barriers for couples (regardless the partners’ sexual orientation and/or gender identity) in accessing fertility treatment or assisted insemination.;There should be legal barriers for couples (based on the partners’ sexual orientation and/or gender identity) in accessing fertility treatment or assisted insemination.;There are no legal barriers for couples (regardless the partners’ sexual orientation and/or gender identity) in accessing fertility treatment or assisted insemination.
Family;Medically assisted insemination (singles);2.0;Medically assisted insemination (singles) covers when fertility treatment for individuals (regardless their sexual orientation and/or gender identity) is legally possible.;There should not be any legal barriers for singles (regardless their sexual orientation and/or gender identity) in accessing fertility treatment or assisted insemination as individual.;There should be legal barriers for singles (based on their sexual orientation and/or gender identity) in accessing fertility treatment or assisted insemination as individual.;There are no legal barriers for singles (based on their sexual orientation and/or gender identity) in accessing fertility treatment or assisted insemination as individual.
Family;Recognition of trans parenthood;2.5;"Recognition of trans parenthood covers when: 
-Parent’s legal gender identity is recognized in the documentation of kinship (e.g. birth certificate of child respects name, gender marker, gendered denomination “mother”/ “father” (where applicable) according to the parent’s recognised gender identity) 
-Regulations regarding recognition of parenthood is aligned with available gender options where more than 2 gender markers are available, e.g. “mother” and “father” are not the only available options; all parents are recorded as “parent” etc.";Laws should recognise a parent's legal gender identity in documentation of kinship and ensure recognition regardless of available gender markers.;Laws should not recognise a parent's legal gender identity in documentation of kinship.;Laws recognise a parent's legal gender identity in documentation of kinship and ensure recognition regardless of available gender markers.
Hate crime & hate speech;Hate crime law (sexual orientation);2.2;Hate crime law (sexual orientation) covers when sexual orientation is expressly included in hate crime legislation as an aggravating factor.;;;
Hate crime & hate speech;Hate speech law (sexual orientation);2.2;Hate speech law (sexual orientation) covers when sexual orientation is expressly included in hate speech legislation as an aggravating factor;;;
Hate crime & hate speech;Policy tackling hatred (sexual orientation);1.93;Policy tackling hate crime and hate speech (sexual orientation) covers when sexual orientation is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;;;
Hate crime & hate speech;Hate crime law (gender identity);2.2;Hate crime law (gender identity) covers when gender identity is expressly included in hate crime legislation as an aggravating factor.;;;
Hate crime & hate speech;Hate speech law (gender identity);2.2;Hate speech law (gender identity) covers when sexual orientation is expressly included in hate speech legislation as an aggravating factor.;;;
Hate crime & hate speech;Policy tackling hatred (gender identity);1.93;Policy tackling hate crime and hate speech (gender identity) covers when gender identity is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;;;
Hate crime & hate speech;Hate crime law (intersex);2.2;Hate crime law (intersex) covers when bias based on the victim’s (perceived) sex characteristics or intersex status is expressly included in hate crime legislation as an aggravating factor.;;;
Hate crime & hate speech;Hate speech law (sex characteristics);2.2;Hate speech law (sex characteristics) covers when sex characteristics or intersex status is expressly included in hate speech legislation as an aggravating factor.;;;
Hate crime & hate speech;Policies tackling hatred (intersex);1.93;Policy tackling hate crime and hate speech (sex characteristics) covers when sex characteristics or intersex status is included in a national strategy tackling hatred. This only refers to actions based on a recurrent and continuing framework by state actors (ad hoc measures do not count).;;;
Legal gender recognition;No legal framework making legal gender recognition impossible;0.75;No legal framework making legal gender recognition impossible covers when there is no explicit ban or other kind of legal limitation which serves to make legal gender recognition practically impossible. This point can be awarded when legal gender recognition procedures are onerous, difficult, or when there is no set pathway, so long as there is not an explicit mechanism in place blocking legal gender recognition entirely.;;;
Legal gender recognition;Existence of legal measures;1.5;Existence of legal measures covers legislation for legal gender recognition. This can include court decisions, as long as there is a procedure that provides consistent results.;;;
Legal gender recognition;Existence of administrative procedures;1.0;Existence of administrative procedures covers procedures for legal gender recognition which are not written in law. This includes change of gender on official documents to reflect the preferred gender. Administrative procedures are only taken into account when consistent implementation with no obstacle has been documented.;;;
Legal gender recognition;Name change;1.0;Name change covers existence of legislation which makes name change possible without any obstacles. This includes deed poll.;;;
Legal gender recognition;No age restriction (Name change);0.15;No age restriction, Name change covers when there is no explicit age restriction for minor to change their name.;;;
Legal gender recognition;Self-determination;2.0;"Self-determination covers when 
-Legal gender recognition is based exclusively on the expressed wish of the person concerned e.g. by declaration 
-Does not require third party involvement, e.g. judge, medical expert, intercessor 
-Intersex status and/ or sex characteristics are not a contraindication";;;
Legal gender recognition;Non-binary recognition;1.0;"Non-binary gender recognition is awarded if: 
-More than two gender marker options (“X”, “NB”, “other”, or other option(s)) are available in the public registry (e.g. Register of Births, etc.); and 
-Available only on request; not applied to anyone without their personal consent; and 
-There is a procedure which provides consistent results; and 
-Available to anyone who seeks it without discrimination. 
-–OR– 
-No mandatory recording of gender marker in the public registry (ability to opt out from recording of gender marker available to all, not only trans/intersex people).";;;
Legal gender recognition;No 'Gender Identity Disorder' diagnosis/psychological opinion required;1.75;No ‘Gender Identity Disorder’ diagnosis/psychological opinion required covers when a GID diagnosis is not a requirement for legal gender recognition.;;;
Legal gender recognition;No compulsory medical intervention required;1.15;No compulsory medical intervention required covers when medical interventions are not a requirement for legal gender recognition. This only refers to non-surgical medical interventions. This criteria only applies when consistent implementation with no obstacle has been documented.;;;
Legal gender recognition;No compulsory surgical intervention required;1.15;No compulsory surgical intervention required covers when any kind of surgical interventions are not a requirement for legal gender recognition. This criteria only applies when consistent implementation with no obstacle has been documented.;;;
Legal gender recognition;No compulsory sterilisation required;1.7;No compulsory sterilisation required covers when sterilisation or proof of infertility is not a requirement for legal gender recognition.;;;
Legal gender recognition;No compulsory divorce required;1.05;No compulsory divorce required covers when divorce or single status is not a requirement for legal gender recognition.;;;
Legal gender recognition;No age restriction;1.0;"No age restriction covers when existing legal measures for legal gender recognition do not include an explicit minimum or maximum age restrictions; individuals of any age use the same process; when the minor does not have full legal capacity, a legal representative can be obliged to make the procedures on their behalf.";;;
Legal gender recognition;Legal gender recognition procedures exist for minors;0.3;Legal gender recognition procedures exist for minors, covers when a legal measure for accessing legal gender recognition is available for minors and provides consistent results.;;;
Legal gender recognition;Depathologisation;2.0;"Depathologisation covers when: 
-No mental health diagnosis relating to trans identities in national clinical classification standards or equivalent; neither for adults/ adolescents nor for pre-puberty children 
-Access to and cost coverage for trans-specific healthcare (TSHC) for adults/ adolescents is possible without requiring a mental health assessment or diagnosis. 
-Access to and cost coverage for support services for pre-puberty trans and gender variant children is ensured without requesting a diagnosis of “Gender Incongruence in Childhood” (ICD11) or equivalent.";;;
Intersex bodily integrity;Prohibition of medical intervention without informed consent (intersex);2.5;Prohibition of medical intervention before child is able to give informed consent (intersex) covers when medical practitioners or other professionals are prohibited by law from conducting any kind of surgical or medical intervention on an intersex minor when the intervention has no medical necessity and can be avoided or postponed until the person can provide informed consent.;;;
Intersex bodily integrity;Universality of prohibition of medical interventions;0.5;"Universality of prohibition of medical interventions covers when bodily integrity protections are universal to all persons, not based on specific variations or diagnoses or intersex terms; and medical practitioners or other professionals are prohibited by law from conducting any kind of surgical or medical intervention on anybody without their personal consent except in the case of vital reasons. This point can only be awarded when “Prohibition of medical intervention before child is able to give informed consent” is also awarded.";;;
Intersex bodily integrity;Existence of effective monitoring mechanism;1.0;"Existence of effective monitoring mechanism covers when: 
-A monitoring mechanism for the prohibition of medical intervention on an intersex minor has been established. 
-The monitoring mechanism is an independent entity from the medical establishment.-
There are clear responsibilities for monitoring and reporting of the mechanism. 
-This point can only be awarded when “Prohibition of medical intervention before child is able to give informed consent” is also awarded.";;;
Intersex bodily integrity;Access to justice for victims and reparations;1.0;Access to justice for victims and reparations covers when prohibition of medical interventions on intersex minor provides adequate acknowledgement of the suffering and injustice caused to intersex people in the past and provides adequate redress, reparation, access to justice and the right to truth with clear and effective mechanisms.;;;
Civil society space;Public event held, no state obstruction of freedom of assembly (last 3 years);1.5;Public event held, no state obstruction of freedom of assembly (last 3 years) covers when laws, policies and practices allow for full exercise of the right to free assembly, so LGBTI public events are held without obstruction.;;;
Civil society space;Public event held, there is enough protection (last 3 years);1.5;Public event held, there is enough protection (last 3 years) covers when LGBTI public events are sufficiently protected by public authorities (e.g. police) who ensure their due course, including protection from disruption or attacks.;;;
Civil society space;Associations operate, no state obstruction of freedom association (last 3 years);1.5;Associations operate, no state obstruction of freedom association (last 3 years) covers when there are no legal and administrative restrictions on the functioning of LGBTI organisations or publications, including state registration, cooperation with authorities, access to national funding, etc.;;;
Civil society space;LGBTI human rights defenders are not at risk;1.5;LGBTI human rights defenders are not at risk covers when LGBTI human rights defenders are not intimidated and criminalised for their work (e.g. no LGBTI HRDs arrested, in jail or harassed by public authorities in relation to their human rights work and activism).;;;
Civil society space;No laws limiting external funding;1.5;No laws limiting receipt of funding covers when there are no explicit government regulations banning organisations from receiving funding (national, foreign and/or private) (e.g. ‘foreign agent’ laws).;;;
Civil society space;No laws limiting freedom of expression (national/local);1.5;No laws limiting expression (national/local) covers when there is no legislation limiting freedom of expression on LGBTI issues (e.g. anti-propaganda laws, censorship laws etc.) either at national or local level.;;;
Asylum;Asylum law (sexual orientation);1.5;Asylum law (sexual orientation) covers when sexual orientation is expressly included in asylum law as a qualification criteria.;;;
Asylum;Other positive measures (sexual orientation);1.5;Legislation/policy/other positive measures (sexual orientation) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of gay, lesbian and bisexual refugees and/or asylum seekers. This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for LGBTI people, and other measures can be taken into account.;;;
Asylum;Asylum law (gender identity);1.5;Law (gender identity) covers when gender identity is expressly included in asylum law as a qualification criteria.;;;
Asylum;Other positive measures (gender identity);1.5;"Legislation/policy/other positive measures (gender identity) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of trans and non-binary refugees and/or asylum seekers. 
This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, access to legal gender recognition for trans and non-binary refugees, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for trans and non-binary people, and other measures can be taken into account.";;;
Asylum;Asylum law (intersex);1.5;Law (intersex) covers when intersex status or sex characteristics is expressly included in law as a qualification criterion.;;;
Asylum;Other positive measures (intersex);1.5;"Legislation/policy/other positive measures (sex characteristics) covers national policies and/or other legal or non-legal positive measures related to asylum that have specific provisions addressing the needs and rights of intersex refugees and/or asylum seekers. 
This pertains solely to actions undertaken within a persistent and ongoing framework by governmental entities (isolated or ad hoc measures are not considered). Examples are consistent training framework for caseworkers, access to legal gender recognition for intersex refugees, publicly available guidelines of the national agency for asylum prepared in partnership with LGBTI organisations, safe reception centres and accommodation options for LGBTI people, and other measures can be taken into account.";;;