Model;Country;languages;Fact;Stance;Rainbow Map
Qwen/Qwen3.5-2B;Albania;Albanian;24.46;23.46;35.449999999999996
Qwen/Qwen3.5-2B;Andorra;Catalan;47.42999999999999;47.42999999999999;42.99999999999999
Qwen/Qwen3.5-2B;Armenia;Armenian;23.240000000000002;23.240000000000002;9.16
Qwen/Qwen3.5-2B;Austria;German;18.58;18.58;53.98369999999999
Qwen/Qwen3.5-2B;Azerbaijan;Azerbaijani;42.92999999999999;44.92999999999999;2.25
Qwen/Qwen3.5-2B;Belarus;Belarusian;90.23;90.23;10.16
Qwen/Qwen3.5-2B;Belarus;Russian;71.73000000000002;71.73000000000002;10.16
Qwen/Qwen3.5-2B;Belgium;Dutch;21.96;22.71;85.31000000000002
Qwen/Qwen3.5-2B;Belgium;German;18.58;18.58;85.31000000000002
Qwen/Qwen3.5-2B;Belgium;French;23.14;23.14;85.31000000000002
Qwen/Qwen3.5-2B;Bosnia & Herzegovina;Bosnian;70.36;67.61;39.633537000000004
Qwen/Qwen3.5-2B;Bosnia & Herzegovina;Serbian;66.28999999999999;66.28999999999999;39.633537000000004
Qwen/Qwen3.5-2B;Bosnia & Herzegovina;Croatian;72.93;72.93;39.633537000000004
Qwen/Qwen3.5-2B;Bulgaria;Bulgarian;57.89999999999999;57.89999999999999;21.259999999999998
Qwen/Qwen3.5-2B;Croatia;Croatian;72.93;72.93;49.13999999999999
Qwen/Qwen3.5-2B;Cyprus;Modern Greek;75.43;75.43;33.69
Qwen/Qwen3.5-2B;Cyprus;Greek;75.43;75.43;33.69
Qwen/Qwen3.5-2B;Cyprus;Turkish;0.0;0.0;33.69
Qwen/Qwen3.5-2B;Czechia;Czech;74.18;73.43;33.17
Qwen/Qwen3.5-2B;Denmark;Danish;36.06;36.06;80.10000000000002
Qwen/Qwen3.5-2B;Estonia;Estonian;73.31;73.31;45.91
Qwen/Qwen3.5-2B;Finland;Swedish;19.09;19.09;69.85000000000001
Qwen/Qwen3.5-2B;Finland;Finnish;22.0;22.0;69.85000000000001
Qwen/Qwen3.5-2B;France;French;23.14;23.14;61.38
Qwen/Qwen3.5-2B;Georgia;Georgian;64.62;64.62;11.88
Qwen/Qwen3.5-2B;Germany;German;18.58;18.58;69.09562499999998
Qwen/Qwen3.5-2B;Greece;Modern Greek;75.43;75.43;69.18
Qwen/Qwen3.5-2B;Greece;Greek;75.43;75.43;69.18
Qwen/Qwen3.5-2B;Hungary;Hungarian;62.75;62.75;22.7
Qwen/Qwen3.5-2B;Iceland;Icelandic;16.48;16.48;84.06000000000002
Qwen/Qwen3.5-2B;Ireland;Irish;99.99000000000002;99.99000000000002;62.839999999999996
Qwen/Qwen3.5-2B;Ireland;English;85.26000000000002;85.26000000000002;62.839999999999996
Qwen/Qwen3.5-2B;Italy;Italian;76.16;76.16;24.41
Qwen/Qwen3.5-2B;Netherlands;Dutch;21.96;22.71;63.82000000000001
Qwen/Qwen3.5-2B;Kosovo;Serbian;66.28999999999999;66.28999999999999;34.81999999999999
Qwen/Qwen3.5-2B;Kosovo;Albanian;24.46;23.46;34.81999999999999
Qwen/Qwen3.5-2B;Latvia;Latvian;31.49;31.49;25.740000000000002
Qwen/Qwen3.5-2B;Liechtenstein;German;18.58;18.58;28.96
Qwen/Qwen3.5-2B;Lithuania;Lithuanian;38.41;36.66;24.090000000000003
Qwen/Qwen3.5-2B;Luxembourg;Luxembourgish;73.38;73.38;68.41
Qwen/Qwen3.5-2B;Luxembourg;German;18.58;18.58;68.41
Qwen/Qwen3.5-2B;Luxembourg;French;23.14;23.14;68.41
Qwen/Qwen3.5-2B;Malta;Maltese;50.279999999999994;50.279999999999994;88.83000000000003
Qwen/Qwen3.5-2B;Malta;English;85.26000000000002;85.26000000000002;88.83000000000003
Qwen/Qwen3.5-2B;Moldova;Romanian;57.11;54.36;38.41
Qwen/Qwen3.5-2B;Monaco;French;23.14;23.14;13.7
Qwen/Qwen3.5-2B;Montenegro;Montenegrin;99.99000000000002;99.99000000000002;49.279999999999994
Qwen/Qwen3.5-2B;North Macedonia;Macedonian;79.94;79.94;29.259999999999998
Qwen/Qwen3.5-2B;North Macedonia;Albanian;24.46;23.46;29.259999999999998
Qwen/Qwen3.5-2B;Norway;Bokmål;9.75;10.5;68.6
Qwen/Qwen3.5-2B;Poland;Polish;53.79000000000001;53.79000000000001;20.5
Qwen/Qwen3.5-2B;Portugal;Portuguese;70.88;70.88;66.99
Qwen/Qwen3.5-2B;Romania;Romanian;57.11;54.36;18.630000000000003
Qwen/Qwen3.5-2B;Russia;Russian;71.73000000000002;71.73000000000002;2.0
Qwen/Qwen3.5-2B;San Marino;Italian;76.16;76.16;14.97
Qwen/Qwen3.5-2B;Serbia;Serbian;66.28999999999999;66.28999999999999;35.25999999999999
Qwen/Qwen3.5-2B;Slovakia;Slovak;58.60999999999999;57.85999999999999;27.169999999999998
Qwen/Qwen3.5-2B;Slovenia;Slovene;59.64999999999999;59.64999999999999;50.28999999999999
Qwen/Qwen3.5-2B;Spain;Spanish;68.18;68.18;77.969411764702
Qwen/Qwen3.5-2B;Sweden;Swedish;19.09;19.09;66.07000000000001
Qwen/Qwen3.5-2B;Switzerland;Italian;76.16;76.16;50.11999999999999
Qwen/Qwen3.5-2B;Switzerland;German;18.58;18.58;50.11999999999999
Qwen/Qwen3.5-2B;Switzerland;French;23.14;23.14;50.11999999999999
Qwen/Qwen3.5-2B;Turkey;Turkish;0.0;0.0;4.75
Qwen/Qwen3.5-2B;Ukraine;Ukrainian;33.93;33.93;18.759999999999998
Qwen/Qwen3.5-2B;United Kingdom;English;85.26000000000002;85.26000000000002;45.64999999999999
Qwen/Qwen3.5-9B;Albania;Albanian;46.589999999999996;44.589999999999996;35.449999999999996
Qwen/Qwen3.5-9B;Andorra;Catalan;63.93000000000001;61.18000000000001;42.99999999999999
Qwen/Qwen3.5-9B;Armenia;Armenian;55.86;54.11;9.16
Qwen/Qwen3.5-9B;Austria;German;58.46000000000001;56.71000000000001;53.98369999999999
Qwen/Qwen3.5-9B;Azerbaijan;Azerbaijani;17.69;17.69;2.25
Qwen/Qwen3.5-9B;Belarus;Belarusian;35.8;35.8;10.16
Qwen/Qwen3.5-9B;Belarus;Russian;31.38;31.38;10.16
Qwen/Qwen3.5-9B;Belgium;Dutch;34.629999999999995;34.629999999999995;85.31000000000002
Qwen/Qwen3.5-9B;Belgium;German;58.46000000000001;56.71000000000001;85.31000000000002
Qwen/Qwen3.5-9B;Belgium;French;34.769999999999996;34.019999999999996;85.31000000000002
Qwen/Qwen3.5-9B;Bosnia & Herzegovina;Bosnian;42.87;41.12;39.633537000000004
Qwen/Qwen3.5-9B;Bosnia & Herzegovina;Serbian;79.03;79.03;39.633537000000004
Qwen/Qwen3.5-9B;Bosnia & Herzegovina;Croatian;57.0;57.0;39.633537000000004
Qwen/Qwen3.5-9B;Bulgaria;Bulgarian;69.14000000000001;66.39000000000001;21.259999999999998
Qwen/Qwen3.5-9B;Croatia;Croatian;57.0;57.0;49.13999999999999
Qwen/Qwen3.5-9B;Cyprus;Modern Greek;63.32000000000001;61.57000000000001;33.69
Qwen/Qwen3.5-9B;Cyprus;Greek;63.32000000000001;61.57000000000001;33.69
Qwen/Qwen3.5-9B;Cyprus;Turkish;52.51000000000001;53.26000000000001;33.69
Qwen/Qwen3.5-9B;Czechia;Czech;42.3;41.55;33.17
Qwen/Qwen3.5-9B;Denmark;Danish;42.13;42.13;80.10000000000002
Qwen/Qwen3.5-9B;Estonia;Estonian;30.130000000000003;28.380000000000003;45.91
Qwen/Qwen3.5-9B;Finland;Swedish;39.07;39.07;69.85000000000001
Qwen/Qwen3.5-9B;Finland;Finnish;65.43;63.68;69.85000000000001
Qwen/Qwen3.5-9B;France;French;34.769999999999996;34.019999999999996;61.38
Qwen/Qwen3.5-9B;Georgia;Georgian;27.469999999999995;27.469999999999995;11.88
Qwen/Qwen3.5-9B;Germany;German;58.46000000000001;56.71000000000001;69.09562499999998
Qwen/Qwen3.5-9B;Greece;Modern Greek;63.32000000000001;61.57000000000001;69.18
Qwen/Qwen3.5-9B;Greece;Greek;63.32000000000001;61.57000000000001;69.18
Qwen/Qwen3.5-9B;Hungary;Hungarian;67.41000000000001;67.41000000000001;22.7
Qwen/Qwen3.5-9B;Iceland;Icelandic;58.970000000000006;56.22;84.06000000000002
Qwen/Qwen3.5-9B;Ireland;Irish;59.86000000000001;60.61000000000001;62.839999999999996
Qwen/Qwen3.5-9B;Ireland;English;39.519999999999996;39.519999999999996;62.839999999999996
Qwen/Qwen3.5-9B;Italy;Italian;61.870000000000005;63.62000000000001;24.41
Qwen/Qwen3.5-9B;Netherlands;Dutch;34.629999999999995;34.629999999999995;63.82000000000001
Qwen/Qwen3.5-9B;Kosovo;Serbian;79.03;79.03;34.81999999999999
Qwen/Qwen3.5-9B;Kosovo;Albanian;46.589999999999996;44.589999999999996;34.81999999999999
Qwen/Qwen3.5-9B;Latvia;Latvian;33.75;35.5;25.740000000000002
Qwen/Qwen3.5-9B;Liechtenstein;German;58.46000000000001;56.71000000000001;28.96
Qwen/Qwen3.5-9B;Lithuania;Lithuanian;88.27000000000001;88.27000000000001;24.090000000000003
Qwen/Qwen3.5-9B;Luxembourg;Luxembourgish;46.3;45.55;68.41
Qwen/Qwen3.5-9B;Luxembourg;German;58.46000000000001;56.71000000000001;68.41
Qwen/Qwen3.5-9B;Luxembourg;French;34.769999999999996;34.019999999999996;68.41
Qwen/Qwen3.5-9B;Malta;Maltese;61.69;58.940000000000005;88.83000000000003
Qwen/Qwen3.5-9B;Malta;English;39.519999999999996;39.519999999999996;88.83000000000003
Qwen/Qwen3.5-9B;Moldova;Romanian;73.20000000000002;73.20000000000002;38.41
Qwen/Qwen3.5-9B;Monaco;French;34.769999999999996;34.019999999999996;13.7
Qwen/Qwen3.5-9B;Montenegro;Montenegrin;0.0;0.0;49.279999999999994
Qwen/Qwen3.5-9B;North Macedonia;Macedonian;54.510000000000005;54.510000000000005;29.259999999999998
Qwen/Qwen3.5-9B;North Macedonia;Albanian;46.589999999999996;44.589999999999996;29.259999999999998
Qwen/Qwen3.5-9B;Norway;Bokmål;39.15;36.4;68.6
Qwen/Qwen3.5-9B;Poland;Polish;52.0;50.25;20.5
Qwen/Qwen3.5-9B;Portugal;Portuguese;23.61;25.36;66.99
Qwen/Qwen3.5-9B;Romania;Romanian;73.20000000000002;73.20000000000002;18.630000000000003
Qwen/Qwen3.5-9B;Russia;Russian;31.38;31.38;2.0
Qwen/Qwen3.5-9B;San Marino;Italian;61.870000000000005;63.62000000000001;14.97
Qwen/Qwen3.5-9B;Serbia;Serbian;79.03;79.03;35.25999999999999
Qwen/Qwen3.5-9B;Slovakia;Slovak;34.919999999999995;32.919999999999995;27.169999999999998
Qwen/Qwen3.5-9B;Slovenia;Slovene;70.07000000000001;70.07000000000001;50.28999999999999
Qwen/Qwen3.5-9B;Spain;Spanish;56.800000000000004;56.050000000000004;77.969411764702
Qwen/Qwen3.5-9B;Sweden;Swedish;39.07;39.07;66.07000000000001
Qwen/Qwen3.5-9B;Switzerland;Italian;61.870000000000005;63.62000000000001;50.11999999999999
Qwen/Qwen3.5-9B;Switzerland;German;58.46000000000001;56.71000000000001;50.11999999999999
Qwen/Qwen3.5-9B;Switzerland;French;34.769999999999996;34.019999999999996;50.11999999999999
Qwen/Qwen3.5-9B;Turkey;Turkish;52.51000000000001;53.26000000000001;4.75
Qwen/Qwen3.5-9B;Ukraine;Ukrainian;44.11;44.11;18.759999999999998
Qwen/Qwen3.5-9B;United Kingdom;English;39.519999999999996;39.519999999999996;45.64999999999999
Qwen/Qwen3.5-27B;Albania;Albanian;62.90799999999999;60.157999999999994;35.449999999999996
Qwen/Qwen3.5-27B;Andorra;Catalan;51.158;48.408;42.99999999999999
Qwen/Qwen3.5-27B;Armenia;Armenian;17.342000000000006;17.342000000000006;9.16
Qwen/Qwen3.5-27B;Austria;German;51.798;52.798;53.98369999999999
Qwen/Qwen3.5-27B;Azerbaijan;Azerbaijani;31.760000000000005;30.01;2.25
Qwen/Qwen3.5-27B;Belarus;Belarusian;52.338;52.338;10.16
Qwen/Qwen3.5-27B;Belarus;Russian;29.227999999999998;29.227999999999998;10.16
Qwen/Qwen3.5-27B;Belgium;Dutch;53.431999999999995;50.681999999999995;85.31000000000002
Qwen/Qwen3.5-27B;Belgium;German;51.798;52.798;85.31000000000002
Qwen/Qwen3.5-27B;Belgium;French;34.862;32.111999999999995;85.31000000000002
Qwen/Qwen3.5-27B;Bosnia & Herzegovina;Bosnian;46.082;43.331999999999994;39.633537000000004
Qwen/Qwen3.5-27B;Bosnia & Herzegovina;Serbian;64.65200000000002;64.65200000000002;39.633537000000004
Qwen/Qwen3.5-27B;Bosnia & Herzegovina;Croatian;52.31399999999999;52.31399999999999;39.633537000000004
Qwen/Qwen3.5-27B;Bulgaria;Bulgarian;61.73199999999999;58.98199999999999;21.259999999999998
Qwen/Qwen3.5-27B;Croatia;Croatian;52.31399999999999;52.31399999999999;49.13999999999999
Qwen/Qwen3.5-27B;Cyprus;Modern Greek;49.435999999999986;50.43599999999999;33.69
Qwen/Qwen3.5-27B;Cyprus;Greek;49.435999999999986;50.43599999999999;33.69
Qwen/Qwen3.5-27B;Cyprus;Turkish;42.102;42.102;33.69
Qwen/Qwen3.5-27B;Czechia;Czech;70.268;67.518;33.17
Qwen/Qwen3.5-27B;Denmark;Danish;61.768000000000015;60.018000000000015;80.10000000000002
Qwen/Qwen3.5-27B;Estonia;Estonian;44.291999999999994;42.54199999999999;45.91
Qwen/Qwen3.5-27B;Finland;Swedish;63.94199999999999;62.19199999999999;69.85000000000001
Qwen/Qwen3.5-27B;Finland;Finnish;60.348;60.348;69.85000000000001
Qwen/Qwen3.5-27B;France;French;34.862;32.111999999999995;61.38
Qwen/Qwen3.5-27B;Georgia;Georgian;49.17199999999999;49.17199999999999;11.88
Qwen/Qwen3.5-27B;Germany;German;51.798;52.798;69.09562499999998
Qwen/Qwen3.5-27B;Greece;Modern Greek;49.435999999999986;50.43599999999999;69.18
Qwen/Qwen3.5-27B;Greece;Greek;49.435999999999986;50.43599999999999;69.18
Qwen/Qwen3.5-27B;Hungary;Hungarian;60.462;59.462;22.7
Qwen/Qwen3.5-27B;Iceland;Icelandic;40.96400000000001;40.96400000000001;84.06000000000002
Qwen/Qwen3.5-27B;Ireland;Irish;71.92800000000003;71.17800000000003;62.839999999999996
Qwen/Qwen3.5-27B;Ireland;English;26.666000000000004;28.416;62.839999999999996
Qwen/Qwen3.5-27B;Italy;Italian;51.528000000000006;51.528000000000006;24.41
Qwen/Qwen3.5-27B;Netherlands;Dutch;53.431999999999995;50.681999999999995;63.82000000000001
Qwen/Qwen3.5-27B;Kosovo;Serbian;64.65200000000002;64.65200000000002;34.81999999999999
Qwen/Qwen3.5-27B;Kosovo;Albanian;62.90799999999999;60.157999999999994;34.81999999999999
Qwen/Qwen3.5-27B;Latvia;Latvian;51.87;53.61999999999999;25.740000000000002
Qwen/Qwen3.5-27B;Liechtenstein;German;51.798;52.798;28.96
Qwen/Qwen3.5-27B;Lithuania;Lithuanian;71.558;71.558;24.090000000000003
Qwen/Qwen3.5-27B;Luxembourg;Luxembourgish;73.88400000000001;72.13400000000001;68.41
Qwen/Qwen3.5-27B;Luxembourg;German;51.798;52.798;68.41
Qwen/Qwen3.5-27B;Luxembourg;French;34.862;32.111999999999995;68.41
Qwen/Qwen3.5-27B;Malta;Maltese;66.408;63.658;88.83000000000003
Qwen/Qwen3.5-27B;Malta;English;26.666000000000004;28.416;88.83000000000003
Qwen/Qwen3.5-27B;Moldova;Romanian;61.228;60.228;38.41
Qwen/Qwen3.5-27B;Monaco;French;34.862;32.111999999999995;13.7
Qwen/Qwen3.5-27B;Montenegro;Montenegrin;0.0;0.0;49.279999999999994
Qwen/Qwen3.5-27B;North Macedonia;Macedonian;65.162;62.41200000000001;29.259999999999998
Qwen/Qwen3.5-27B;North Macedonia;Albanian;62.90799999999999;60.157999999999994;29.259999999999998
Qwen/Qwen3.5-27B;Norway;Bokmål;65.83800000000001;63.088;68.6
Qwen/Qwen3.5-27B;Poland;Polish;34.31400000000001;32.114000000000004;20.5
Qwen/Qwen3.5-27B;Portugal;Portuguese;49.158;49.158;66.99
Qwen/Qwen3.5-27B;Romania;Romanian;61.228;60.228;18.630000000000003
Qwen/Qwen3.5-27B;Russia;Russian;29.227999999999998;29.227999999999998;2.0
Qwen/Qwen3.5-27B;San Marino;Italian;51.528000000000006;51.528000000000006;14.97
Qwen/Qwen3.5-27B;Serbia;Serbian;64.65200000000002;64.65200000000002;35.25999999999999
Qwen/Qwen3.5-27B;Slovakia;Slovak;60.25200000000001;60.25200000000001;27.169999999999998
Qwen/Qwen3.5-27B;Slovenia;Slovene;53.06200000000001;51.312000000000005;50.28999999999999
Qwen/Qwen3.5-27B;Spain;Spanish;40.686000000000014;38.936000000000014;77.969411764702
Qwen/Qwen3.5-27B;Sweden;Swedish;63.94199999999999;62.19199999999999;66.07000000000001
Qwen/Qwen3.5-27B;Switzerland;Italian;51.528000000000006;51.528000000000006;50.11999999999999
Qwen/Qwen3.5-27B;Switzerland;German;51.798;52.798;50.11999999999999
Qwen/Qwen3.5-27B;Switzerland;French;34.862;32.111999999999995;50.11999999999999
Qwen/Qwen3.5-27B;Turkey;Turkish;42.102;42.102;4.75
Qwen/Qwen3.5-27B;Ukraine;Ukrainian;43.48799999999999;43.188;18.759999999999998
Qwen/Qwen3.5-27B;United Kingdom;English;26.666000000000004;28.416;45.64999999999999
meta-llama/Llama-3.2-3B;Albania;Albanian;47.916;47.916;35.449999999999996
meta-llama/Llama-3.2-3B;Andorra;Catalan;0.032;0.032;42.99999999999999
meta-llama/Llama-3.2-3B;Armenia;Armenian;21.209999999999997;20.91;9.16
meta-llama/Llama-3.2-3B;Austria;German;49.99500000000001;49.99500000000001;53.98369999999999
meta-llama/Llama-3.2-3B;Azerbaijan;Azerbaijani;49.99500000000001;49.99500000000001;2.25
meta-llama/Llama-3.2-3B;Belarus;Belarusian;9.309000000000001;10.134;10.16
meta-llama/Llama-3.2-3B;Belarus;Russian;32.724;31.723999999999997;10.16
meta-llama/Llama-3.2-3B;Belgium;Dutch;49.99500000000001;49.99500000000001;85.31000000000002
meta-llama/Llama-3.2-3B;Belgium;German;49.99500000000001;49.99500000000001;85.31000000000002
meta-llama/Llama-3.2-3B;Belgium;French;0.6000000000000001;0.6000000000000001;85.31000000000002
meta-llama/Llama-3.2-3B;Bosnia & Herzegovina;Bosnian;1.5560000000000003;1.5560000000000003;39.633537000000004
meta-llama/Llama-3.2-3B;Bosnia & Herzegovina;Serbian;32.690000000000005;33.065000000000005;39.633537000000004
meta-llama/Llama-3.2-3B;Bosnia & Herzegovina;Croatian;4.710000000000001;4.860000000000001;39.633537000000004
meta-llama/Llama-3.2-3B;Bulgaria;Bulgarian;17.932;18.006999999999994;21.259999999999998
meta-llama/Llama-3.2-3B;Croatia;Croatian;4.710000000000001;4.860000000000001;49.13999999999999
meta-llama/Llama-3.2-3B;Cyprus;Modern Greek;13.09;12.89;33.69
meta-llama/Llama-3.2-3B;Cyprus;Greek;13.09;12.89;33.69
meta-llama/Llama-3.2-3B;Cyprus;Turkish;0.0;0.0;33.69
meta-llama/Llama-3.2-3B;Czechia;Czech;4.768;4.768;33.17
meta-llama/Llama-3.2-3B;Denmark;Danish;33.396000000000015;34.196000000000005;80.10000000000002
meta-llama/Llama-3.2-3B;Estonia;Estonian;1.3110000000000004;1.3110000000000004;45.91
meta-llama/Llama-3.2-3B;Finland;Swedish;19.47;19.47;69.85000000000001
meta-llama/Llama-3.2-3B;Finland;Finnish;17.484000000000005;16.434000000000005;69.85000000000001
meta-llama/Llama-3.2-3B;France;French;0.6000000000000001;0.6000000000000001;61.38
meta-llama/Llama-3.2-3B;Georgia;Georgian;51.27;50.595000000000006;11.88
meta-llama/Llama-3.2-3B;Germany;German;49.99500000000001;49.99500000000001;69.09562499999998
meta-llama/Llama-3.2-3B;Greece;Modern Greek;13.09;12.89;69.18
meta-llama/Llama-3.2-3B;Greece;Greek;13.09;12.89;69.18
meta-llama/Llama-3.2-3B;Hungary;Hungarian;48.845000000000006;48.470000000000006;22.7
meta-llama/Llama-3.2-3B;Iceland;Icelandic;49.99500000000001;49.99500000000001;84.06000000000002
meta-llama/Llama-3.2-3B;Ireland;Irish;49.99500000000001;49.99500000000001;62.839999999999996
meta-llama/Llama-3.2-3B;Ireland;English;49.12400000000001;49.12400000000001;62.839999999999996
